Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
A.J. Achter,LAA,2016,5.854525442,-0.423943609,5.472692661,-0.137072012,5.334977788,0.09022556,0.27067669,6.13,86.67949368,A.J. Achter,11387,592091
Eric Surkamp,OAK,2016,6.715524726,-0.434544384,6.524270737,-1.541447997,6.008113152,0.08053691,0.31543624,7.41,89.21826172,Eric Surkamp,2540,474668
Chris Hatcher,LAD,2016,5.212134864,-0.436235994,4.456882953,-1.43574214,4.061380277,0.0862069,0.38793103,4.58,88.85414402,Chris Hatcher,3299,501822
Tim Melville,CIN,2016,11.92433816,-0.443052426,6.737850185,-0.442863969,6.242779098,0.11111111,0.44444444,12.89,89.82012042,Tim Melville,9149,543532
Dana Eveland,TBR,2016,5.885691726,-0.450765997,5.855640289,-0.236703992,5.354522149,0.07894737,0.34210526,6.17,86.89318205,Dana Eveland,5508,445968
Jacob Turner,CHW,2016,6.511425595,-0.467962593,5.159253058,-1.15930599,5.134407854,0.08139535,0.45348837,8.13,92.68650924,Jacob Turner,10185,545363
Brooks Pounders,KCR,2016,7.962352999,-0.475204885,4.828836521,-0.025598021,3.736661599,0.11904762,0.35714286,5.42,89.60588146,Brooks Pounders,10387,572044
Erasmo Ramírez,TBR,2016,4.756854851,-0.48096028,4.384484914,0.068443924,4.103165796,0.04912281,0.35087719,3.96,88.71466439,Erasmo Ramirez,10314,541640
Luke Jackson,TEX,2016,9.146563653,-0.489964783,7.687501345,-0.173051998,6.959829073,0.03921569,0.29411765,5.52,87.78897633,Luke Jackson,11752,592426
Adam Warren,- - -,2016,5.121050736,-0.514330819,4.869810718,-0.221571967,4.539510604,0.06153846,0.2974359,4.05,88.61628,Adam Warren,9029,476589
Bryan Morris,MIA,2016,6.486183505,-0.516452074,4.862697071,-0.926223934,4.894046686,0.08,0.34,5.14,89.22236328,Bryan Morris,10234,457768
José Domínguez,SDP,2016,5.613850806,-0.530383408,5.565986168,-0.017051959,5.203769486,0.07017544,0.35964912,5.71,87.65238735,Jose Dominguez,11571,523848
Nick Martinez,TEX,2016,6.870699569,-0.54382677,6.205610598,-0.779788032,5.843234521,0.0647482,0.35251799,5.9,88.18751616,Nick Martinez,12730,607259
Silvino Bracho,ARI,2016,7.038454482,-0.546221912,6.320336488,-1.006269932,5.168237434,0.06741573,0.28089888,5.74,89.41182215,Silvino Bracho,15051,611093
Ross Ohlendorf,CIN,2016,5.583108984,-0.546417534,4.891422499,-1.864278078,4.131989349,0.07065217,0.36413043,4.9,88.27013815,Ross Ohlendorf,8268,456027
Chris Capuano,MIL,2016,6.688227331,-0.556127965,4.770361352,-0.34681204,4.249359259,0.12698413,0.47619048,6.57,92.44624904,Chris Capuano,1701,425626
Frank Herrmann,PHI,2016,8.546561413,-0.55772692,5.255895363,-0.44948402,4.265191034,0.14285714,0.46938776,6.49,91.12124634,Frank Herrmann,7960,497807
