Name,AAV,catcher,year,Age,stayed_same_team,G,PA,HR,R,RBI,AVG,OBP,SLG,GDP,H,OPS,PlayerId,G_2,PA_2,HR_2,R_2,RBI_2,AVG_2,OBP_2,SLG_2,GDP_2,H_2,OPS_2,SB_success,SB_success_2
Ben Zobrist,17.23816371,FALSE,2016,35,FALSE,126,535,13,76,56,0.276231263,0.358878504,0.4496788,8,129,0.808557304,7435,146,654,10,83,52,0.271929824,0.354294478,0.394736842,8,155,0.74903132,42.85714286,66.66666667
Didi Gregorius,16.62681548,FALSE,2020,30,FALSE,82,344,16,47,61,0.23765432,0.27616279,0.441358024,5,77,0.717520814,6012,134,569,27,89,86,0.267857142,0.334507042,0.494047619,8,135,0.828554661,66.66666667,62.5
Ian Desmond,16.3954296,FALSE,2017,31,FALSE,156,677,22,107,86,0.2848,0.335302806,0.4464,11,178,0.781702806,6885,156,641,19,69,62,0.233276157,0.289763779,0.384219554,9,136,0.673983333,77.77777778,72.22222222
Jorge Soler,14,FALSE,2024,32,FALSE,137,580,36,77,75,0.25,0.34137931,0.511904761,20,126,0.853284071,14221,72,306,13,32,34,0.207407407,0.295081967,0.4,9,56,0.695081967,100,0
Lourdes Gurriel Jr.,14,FALSE,2024,30,TRUE,145,592,24,65,82,0.261343012,0.309121621,0.462794918,20,144,0.771916539,19238,121,493,5,52,52,0.291390728,0.343495934,0.399558498,11,132,0.743054432,100,42.85714286
Avisail Garcia,14.53700573,FALSE,2022,31,FALSE,135,515,29,68,86,0.262472885,0.330097087,0.490238611,12,121,0.820335698,5760,125,530,20,61,72,0.282208588,0.332075471,0.464212678,15,138,0.796288149,66.66666667,71.42857143
Mark Canha,14.53700573,FALSE,2022,33,FALSE,141,625,17,93,61,0.231213872,0.3584,0.387283236,9,120,0.745683236,11445,126,497,26,80,58,0.273170731,0.396378269,0.51707317,10,112,0.913451439,85.71428571,60
Dexter Fowler,16.0068663,FALSE,2016,30,TRUE,156,690,17,102,46,0.25,0.345930232,0.411073825,5,149,0.757004057,4062,116,505,8,61,35,0.276497695,0.375,0.398617511,6,120,0.773617511,74.07407407,73.33333333
Jay Bruce,15.38302401,FALSE,2018,31,FALSE,146,617,36,82,101,0.254054054,0.324149108,0.508108108,11,141,0.832257216,9892,147,589,33,74,99,0.250463821,0.308998302,0.506493506,14,135,0.815491808,50,66.66666667
Justin Turner,13,FALSE,2024,39,FALSE,146,626,23,86,96,0.275985663,0.345047923,0.455197132,10,154,0.800245055,5235,128,532,13,61,81,0.277777777,0.34962406,0.438034188,13,130,0.787658248,80,100
